100 3000 10
88 88 50 50
82 15 81 15
95 36 96 36
29 18 28 18
87 95 86 95
76 55 75 55
4 12 5 12
30 65 29 65
72 26 72 27
29 58 29 57
1 98 2 98
90 55 90 54
36 20 37 20
98 44 97 44
12 49 11 49
46 45 46 44
6 94 6 95
69 16 69 17
11 71 11 70
81 80 81 79
74 25 73 25
6 85 7 85
38 11 39 11
13 49 13 48
59 82 59 81
21 48 21 47
27 86 27 85
90 88 89 88
78 82 79 82
69 94 70 94
21 60 21 61
35 82 36 82
88 42 87 42
30 5 30 4
52 35 51 35
28 73 28 72
28 84 28 85
51 83 51 84
19 34 20 34
32 96 32 95
96 75 96 76
75 52 75 51
29 18 29 19
12 97 11 97
15 20 16 20
88 55 87 55
50 49 50 50
68 33 67 33
88 93 87 93
88 69 88 68
83 44 82 44
38 56 39 56
59 1 59 0
65 98 66 98
65 14 65 13
82 65 83 65
20 48 21 48
70 68 69 68
77 42 77 43
3 15 3 14
40 31 39 31
31 73 30 73
11 94 11 95
9 98 10 98
17 85 17 86
71 22 71 21
68 78 68 79
28 70 29 70
92 40 92 41
86 84 86 83
57 67 57 68
16 32 17 32
9 44 8 44
76 71 77 71
76 29 75 29
10 91 9 91
30 9 29 9
43 10 44 10
36 86 36 87
28 70 29 70
93 74 93 75
32 61 32 62
25 13 24 13
85 56 85 55
55 53 55 54
94 7 93 7
8 52 8 51
14 32 15 32
25 69 25 70
18 55 19 55
36 60 37 60
10 57 9 57
7 84 6 84
12 97 13 97
22 53 22 54
62 28 62 29
8 22 8 23
1 50 1 49
59 37 59 38
90 94 90 95
20 25 20 24
28 8 27 8
96 41 95 41
7 75 7 76
65 68 66 68
8 66 7 66
24 9 23 9
87 31 87 32
16 73 17 73
75 77 74 77
80 11 80 12
85 75 85 74
34 27 34 26
31 34 31 35
17 86 17 85
59 41 58 41
2 59 1 59
10 69 11 69
65 34 66 34
45 9 46 9
48 37 49 37
57 70 57 69
79 84 78 84
86 71 86 70
85 14 86 14
34 15 33 15
96 71 97 71
35 37 36 37
92 44 93 44
88 82 88 81
65 63 65 62
7 12 7 13
36 6 35 6
43 17 43 16
21 95 21 96
71 91 71 92
72 2 71 2
10 89 11 89
70 5 70 4
75 71 76 71
56 17 55 17
40 47 39 47
46 27 47 27
86 14 86 13
72 53 73 53
31 21 32 21
53 4 54 4
95 43 95 44
86 95 87 95
35 21 34 21
49 5 49 6
29 26 29 27
45 40 46 40
29 4 30 4
52 43 52 42
9 36 9 35
83 66 83 67
87 69 87 68
4 15 4 14
23 75 23 74
5 14 5 15
45 94 45 93
56 78 55 78
50 74 51 74
33 6 33 7
1 67 2 67
47 56 46 56
86 43 86 42
85 16 85 15
65 40 65 41
42 52 42 51
71 17 72 17
54 86 54 87
87 96 88 96
79 73 79 72
52 71 51 71
39 37 40 37
56 75 56 74
60 57 60 58
87 28 87 29
95 22 94 22
37 66 37 65
12 97 13 97
87 40 88 40
26 19 25 19
6 32 6 33
79 10 79 11
54 81 55 81
92 90 92 91
64 52 65 52
19 84 18 84
97 14 97 15
29 23 29 24
7 72 8 72
16 59 17 59
60 86 60 85
97 57 97 58
71 58 72 58
96 61 96 62
34 97 35 97
82 36 82 37
81 31 81 30
57 10 57 9
31 35 31 34
41 70 40 70
18 20 19 20
50 89 51 89
91 28 90 28
54 53 54 52
70 60 70 61
8 27 8 28
50 75 49 75
98 74 98 75
62 1 62 0
39 97 39 98
54 69 55 69
63 29 63 28
56 63 55 63
50 44 50 45
93 22 93 23
17 80 16 80
51 76 50 76
11 83 11 84
18 60 19 60
7 34 7 35
42 28 42 29
42 44 42 45
36 97 36 98
33 11 33 12
3 96 2 96
45 29 44 29
84 6 83 6
32 26 31 26
80 20 81 20
17 61 16 61
73 28 73 29
90 33 90 32
22 78 21 78
21 40 20 40
75 4 75 3
74 87 74 88
51 92 52 92
10 76 11 76
14 90 14 89
88 77 87 77
73 6 73 5
69 55 69 54
9 65 9 64
2 54 2 55
14 56 14 55
82 59 83 59
56 23 56 22
79 69 79 70
60 56 60 55
42 32 41 32
36 58 37 58
97 60 97 61
44 4 44 5
42 24 42 25
28 46 28 45
44 36 44 35
72 2 73 2
11 31 11 32
63 72 64 72
89 61 89 62
58 3 57 3
38 29 38 30
89 32 89 31
85 75 85 74
61 71 61 70
55 96 55 95
46 90 46 91
35 40 35 39
30 16 31 16
41 16 42 16
25 28 25 29
36 93 36 92
13 25 13 24
30 47 31 47
39 2 40 2
36 6 35 6
71 38 72 38
82 97 82 98
14 2 14 1
61 62 61 63
44 24 43 24
33 62 32 62
9 52 9 53
10 74 9 74
20 20 20 19
11 32 10 32
72 98 72 99
78 77 79 77
67 49 67 50
57 39 57 40
40 73 39 73
79 95 78 95
98 27 99 27
34 85 33 85
21 31 22 31
71 10 72 10
1 53 1 54
89 77 89 78
38 5 39 5
37 91 37 90
90 59 89 59
88 30 88 29
81 76 82 76
55 15 56 15
83 20 83 19
19 10 18 10
22 40 22 39
57 16 57 17
89 39 89 40
35 65 35 66
57 11 56 11
56 95 56 94
78 33 77 33
12 30 11 30
98 87 98 86
74 6 75 6
61 67 61 68
36 24 36 25
82 63 81 63
61 45 61 46
43 42 42 42
21 43 21 44
89 64 89 63
85 52 84 52
59 12 59 11
33 42 32 42
52 66 51 66
85 70 85 71
53 7 54 7
67 47 67 48
81 57 80 57
27 35 28 35
37 57 37 58
16 4 17 4
91 21 91 20
71 2 71 3
12 29 11 29
60 16 61 16
64 92 64 91
66 91 66 90
54 62 54 63
32 59 33 59
50 25 51 25
